iata,city
SIN,Singapore
NRT,Tokyo
HND,Tokyo
KIX,Osaka
NGO,Nagoya
FUK,Fukuoka
OKA,Naha
CTS,Sapporo
SGN,Ho Chi Minh City
HAN,Hanoi
DAD,Da Nang
DMK,Bangkok
BKK,Bangkok
CNX,Chiang Mai
HKT,Phuket
ICN,Seoul
GMP,Seoul
PUS,Busan
CJU,Jeju
TPE,Taipei
TSA,Taipei
KHH,Kaohsiung
HKG,Hong Kong
MNL,Manila
CEB,Cebu
KUL,Kuala Lumpur
PEN,Penang
BKI,Kota Kinabalu
CGK,Jakarta
DPS,Bali
SUB,Surabaya
DEL,New Delhi
BOM,Mumbai
BLR,Bengaluru
CCU,Kolkata
MAA,Chennai
HYD,Hyderabad
CMB,Colombo
KTM,Kathmandu
DAC,Dhaka
MLE,Malé
RGN,Yangon
BWN,Bandar Seri Begawan
PNH,Phnom Penh
REP,Siem Reap
CAN,Guangzhou
SZX,Shenzhen
PVG,Shanghai
SHA,Shanghai
PEK,Beijing
PKX,Beijing
CTU,Chengdu
CKG,Chongqing
XIY,Xi'an
HGH,Hangzhou
NKG,Nanjing
WUH,Wuhan
CSX,Changsha
XMN,Xiamen
TAO,Qingdao
DLC,Dalian
SHE,Shenyang
CGO,Zhengzhou
KMG,Kunming
LAX,Los Angeles
SFO,San Francisco
JFK,New York
EWR,Newark
HNL,Honolulu
GUM,Guam
SYD,Sydney
MEL,Melbourne
BNE,Brisbane
PER,Perth
AKL,Auckland
DXB,Dubai
AUH,Abu Dhabi
DOH,Doha
IST,Istanbul
AMS,Amsterdam
FRA,Frankfurt
LHR,London
CDG,Paris
