iata,iso2
SIN,SG
NRT,JP
HND,JP
KIX,JP
NGO,JP
FUK,JP
OKA,JP
CTS,JP
SGN,VN
HAN,VN
DAD,VN
DMK,TH
BKK,TH
CNX,TH
HKT,TH
ICN,KR
GMP,KR
PUS,KR
CJU,KR
TPE,TW
TSA,TW
KHH,TW
HKG,HK
MNL,PH
CEB,PH
KUL,MY
PEN,MY
BKI,MY
CGK,ID
DPS,ID
SUB,ID
DEL,IN
BOM,IN
BLR,IN
CCU,IN
MAA,IN
HYD,IN
CMB,LK
KTM,NP
DAC,BD
MLE,MV
RGN,MM
BWN,BN
PNH,KH
REP,KH
CAN,CN
SZX,CN
PVG,CN
SHA,CN
PEK,CN
PKX,CN
CTU,CN
CKG,CN
XIY,CN
HGH,CN
NKG,CN
WUH,CN
CSX,CN
XMN,CN
TAO,CN
DLC,CN
SHE,CN
CGO,CN
KMG,CN
LAX,US
SFO,US
JFK,US
EWR,US
HNL,US
GUM,GU
SYD,AU
MEL,AU
BNE,AU
PER,AU
AKL,NZ
DXB,AE
AUH,AE
DOH,QA
IST,TR
AMS,NL
FRA,DE
LHR,GB
CDG,FR
